Rank,Publisher,Article Count,Shares
1,forbes.com,6082,410189
2,nytimes.com,9016,292121
3,businessinsider.com,3251,227949
4,mashable.com,1604,221731
5,inc.com,681,163770
6,wsj.com,9476,153814
7,techcrunch.com,1105,147438
8,huffingtonpost.com,19205,133673
9,bloomberg.com,8733,123690
10,bbc.co.uk,14442,123586
11,cnn.com,8928,122457
12,entrepreneur.com,563,120182
13,theguardian.com,11521,114598
14,hbr.org,170,110173
15,economist.com,805,101332
16,bizjournals.com,7620,91647
17,nbc.com,22671,87367
18,fastcompany.com,339,87299
19,venturebeat.com,950,74825
20,reuters.com,31861,72463